PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-03-20,18:03:55.94,1,1,"Dye, Mitch",813868,Right,ILL_ILL,"Bonds, Peyton",835227,Right,RUT_SCA,Undefined,1,Top,0,0,0,Cutter,Slider,InPlay,Undefined,FlyBall,HomeRun,0,1,,87.0708,-1.992189,-1.963578,2328.015981,121.890111,10:00,6.18287,1.84402,5.32642,-33.2084,5.67626,-6.57154,1.54424,-0.5469,77.6978,-8.109158,-3.131177,0.448808,106.28037,21.387679,-5.570564,3217.730397,109.89152,41.64424,-4.88338,427.50224,398.78536,5.671674,4.939049,2.56516,4.02591,-1.66143,50,5.97911,4.60799,-125.82818,-5.59153,3.98011,33.18608,-25.92741,ILL_ILL,RUT_SCA,IllinoisField,D1,BIG10,20260320-IllinoisField-1,11fc3a30-24b1-11f1-91ed-43f7ec980af3,83.98343,69.29443,,9.373,,,,2.38835,1.73222,0.48177,915759c0-f5bb-409c-9d39-2719199e2447,2026-03-20,23:03:55.94,2026-03-20T18:03:55.9486976-05:00,2026-03-20T23:03:55.9486976Z,LineDrive,v3,4805,471422,efa08a7a58bf45c89eb5aab6d9facb97,"Johannes, Will",831334,Right,ILL_ILL,b8f93917-6959-41c0-ad40-a17744732200,55.16942,-127.18426,16.59304,6.18595,-4.53206,-12.9637,-1.8464,4.44535,1.99005,210.663517,2.38835,144.45699,-26.06598,5.88069,-1.24567,0.25462,-0.04351,0.00479,-0.00023,1.73343,56.82044,-11.41354,-0.83017,0.54516,-0.20699,0.04771,-0.00568,0.00027,0.48136,-14.07908,11.28049,-3.04079,0.72754,-0.15478,0.02563,-0.00266,0.00012,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-03-20,18:04:47.30,2,1,"Dye, Mitch",813868,Right,ILL_ILL,"Salinas, Tristan",822701,Left,RUT_SCA,Undefined,1,Top,0,0,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.55504,-0.569934,-3.24224,2049.907704,236.233291,1:45,6.22347,1.53157,6.08161,-29.78313,10.06103,13.12926,3.21338,-0.37723,76.38237,-6.132512,-0.880677,0.454312,,,,,,,,,,,,-7.66268,5.74197,-1.28756,50,6.16362,6.35666,-121.23658,-2.11895,-11.38885,24.01145,-23.63992,ILL_ILL,RUT_SCA,IllinoisField,D1,BIG10,20260320-IllinoisField-1,30994b40-24b1-11f1-91ed-43f7ec980af3,82.96607,,,7.17267,,,,,,,915759c0-f5bb-409c-9d39-2719199e2447,2026-03-20,23:04:47.30,2026-03-20T18:04:47.3041920-05:00,2026-03-20T23:04:47.3041920Z,,v3,4805,471422,efa08a7a58bf45c89eb5aab6d9facb97,"Johannes, Will",831334,Right,ILL_ILL,d67a119c-c542-4434-833d-9b35ddb612cb,54.41793,-122.10843,12.00573,6.22498,-1.26059,-11.81996,-1.52588,6.77019,-5.69443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-03-20,18:05:01.23,2,2,"Dye, Mitch",813868,Right,ILL_ILL,"Salinas, Tristan",822701,Left,RUT_SCA,Undefined,1,Top,0,0,1,FourSeamFastBall,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,92.7799,-2.462516,-1.915131,2121.215522,180.385222,12:00,6.35615,1.24485,5.99706,-22.49249,9.88323,0.05961,2.19716,-0.52553,85.04618,-6.652693,-1.904417,0.409526,,,,,,,,,,,,-0.56579,6.08225,-1.09405,50,6.14965,4.49972,-134.64592,-6.55435,-1.03819,29.36109,-21.01334,ILL_ILL,RUT_SCA,IllinoisField,D1,BIG10,20260320-IllinoisField-1,38da2db0-24b1-11f1-91ed-43f7ec980af3,92.03925,,,7.73372,,,,,,,915759c0-f5bb-409c-9d39-2719199e2447,2026-03-20,23:05:01.23,2026-03-20T18:05:01.2362752-05:00,2026-03-20T23:05:01.2362752Z,,v3,4805,471422,efa08a7a58bf45c89eb5aab6d9facb97,"Johannes, Will",831334,Right,ILL_ILL,334fbbd9-a76e-40b5-8aae-f4a376442b8c,54.50313,-135.62433,14.68055,6.3564,-5.85412,-10.50667,-1.24457,4.53431,-0.51909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-03-20,18:05:16.58,2,3,"Dye, Mitch",813868,Right,ILL_ILL,"Salinas, Tristan",822701,Left,RUT_SCA,Undefined,1,Top,0,0,2,ChangeUp,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,81.91002,-1.235018,-1.841824,1976.212871,215.429291,1:15,6.24017,1.57666,6.08205,-33.94364,7.43713,4.35666,2.26815,0.2351,75.1853,-7.533757,-1.056568,0.462989,87.47234,9.626124,41.06916,3360.091584,78.52055,6.98523,77.03547,151.1257,149.66123,46.423648,1.361697,-2.79307,4.55382,-1.43672,50,6.12657,3.66633,-118.98036,-3.6002,-3.99568,23.26151,-25.65955,ILL_ILL,RUT_SCA,IllinoisField,D1,BIG10,20260320-IllinoisField-1,420485c0-24b1-11f1-91ed-43f7ec980af3,81.41109,8.82514,,6.72471,,,,2.58715,2.46566,-0.23115,915759c0-f5bb-409c-9d39-2719199e2447,2026-03-20,23:05:16.58,2026-03-20T18:05:16.5879296-05:00,2026-03-20T23:05:16.5879296Z,LineDrive,v3,4805,471422,efa08a7a58bf45c89eb5aab6d9facb97,"Johannes, Will",831334,Right,ILL_ILL,815787a5-56bb-4031-8263-e9d792a4a570,54.41915,-119.84122,11.63075,6.24223,-2.65059,-12.82977,-1.57514,3.81421,-1.99784,,2.58715,95.36009,-18.51757,2.97639,-0.24782,-0.40612,0.3609,-0.14783,0.02469,2.46566,21.45286,-19.06929,1.79844,-0.3097,0.0379,0.01221,-0.00774,0.0014,-0.23114,83.0975,-0.95764,-0.8118,-0.14904,0.54573,-0.45515,0.18581,-0.03105,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-03-20,18:05:44.23,2,4,"Dye, Mitch",813868,Right,ILL_ILL,"Salinas, Tristan",822701,Left,RUT_SCA,Undefined,1,Top,0,0,2,FourSeamFastBall,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,93.73385,-2.826704,-2.384137,2265.734356,194.625513,12:30,6.29677,1.04887,6.01259,-18.07355,13.6069,3.29154,2.16759,-0.88677,85.95417,-6.223028,-1.792517,0.405104,,,,,,,,,,,,-2.35374,8.08666,-0.86352,50,6.06471,5.52015,-135.97709,-7.30139,-4.41344,29.40135,-17.01111,ILL_ILL,RUT_SCA,IllinoisField,D1,BIG10,20260320-IllinoisField-1,527cd4c0-24b1-11f1-91ed-43f7ec980af3,93.04375,,,7.77968,,,,,,,915759c0-f5bb-409c-9d39-2719199e2447,2026-03-20,23:05:44.23,2026-03-20T18:05:44.2300000-05:00,2026-03-20T23:05:44.2300000Z,,v3,4805,471422,efa08a7a58bf45c89eb5aab6d9facb97,"Johannes, Will",831334,Right,ILL_ILL,ca511121-6d6a-4924-9264-5c7f4c72a805,54.48788,-136.94403,14.70067,6.29564,-6.74194,-8.50555,-1.04745,5.6653,-2.20672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.30673,2.694846,1.675827,1.019019,0.74491,2.09401,0.90775,-2.34254,5.62622,0.09344,75.49,12.58409,-49.32152,-2.26559,83.00438,-6.56905,5.64164,19.30467,-12.25654,-0.04915,-57.57763,9.04259,High,High,High,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-03-20,18:06:12.78,3,1,"Dye, Mitch",813868,Right,ILL_ILL,"Wells, Trey",831089,Right,RUT_SCA,Undefined,1,Top,1,0,0,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,83.61958,-2.639861,-2.425761,2010.5164,222.487976,1:30,6.16579,1.34225,6.27724,-28.98344,11.0906,8.81182,1.31323,-0.16078,75.69498,-8.082237,-0.832038,0.45562,61.49276,-51.49611,-56.447224,,,,,2.66793,2.66793,-16.711525,0.019613,-5.37925,7.05307,-1.16716,50,5.95662,4.8002,-121.16402,-6.43197,-7.86182,27.39728,-21.86587,ILL_ILL,RUT_SCA,IllinoisField,D1,BIG10,20260320-IllinoisField-1,6388d840-24b1-11f1-91ed-43f7ec980af3,82.72776,1.38796,,7.9246,,,,1.94495,1.38796,0.15303,915759c0-f5bb-409c-9d39-2719199e2447,2026-03-20,23:06:12.78,2026-03-20T18:06:12.7852544-05:00,2026-03-20T23:06:12.7852544Z,GroundBall,v3,4805,471422,efa08a7a58bf45c89eb5aab6d9facb97,"Johannes, Will",831334,Right,ILL_ILL,2c9115c6-f893-4bdf-b92b-d5534bb6e7f7,54.22099,-122.11473,13.69864,6.16665,-5.67321,-10.93293,-1.33846,5.07301,-3.93091,,1.94469,31.11654,,,,,,,,1.38856,-70.76725,,,,,,,,0.15343,-46.91801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-03-20,18:06:44.28,4,1,"Dye, Mitch",813868,Right,ILL_ILL,"Carreras, Yomar",827330,Left,RUT_SCA,Undefined,1,Top,2,0,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,82.72052,-1.397017,-1.665412,2066.339439,238.675794,2:00,6.20631,1.62788,6.22451,-31.64828,9.55434,13.10056,2.27912,1.18249,74.3418,-7.352319,0.702848,0.461991,,,,,,,,,,,,-7.31028,5.90674,-1.50932,50,6.08647,2.97563,-119.90379,-3.85931,-10.39617,28.18394,-23.77389,ILL_ILL,RUT_SCA,IllinoisField,D1,BIG10,20260320-IllinoisField-1,7653a2c0-24b1-11f1-91ed-43f7ec980af3,81.58689,,,8.37872,,,,,,,915759c0-f5bb-409c-9d39-2719199e2447,2026-03-20,23:06:44.28,2026-03-20T18:06:44.2869248-05:00,2026-03-20T23:06:44.2869248Z,,v3,4805,471422,efa08a7a58bf45c89eb5aab6d9facb97,"Johannes, Will",831334,Right,ILL_ILL,71d4543d-37a7-4965-9340-bebab8296203,54.27152,-120.90367,14.09197,6.20842,-3.0159,-11.88695,-1.62143,3.34445,-5.19809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-03-20,18:06:57.73,4,2,"Dye, Mitch",813868,Right,ILL_ILL,"Carreras, Yomar",827330,Left,RUT_SCA,Undefined,1,Top,2,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.52422,-4.722346,-2.043163,1760.609743,230.978462,1:45,6.18202,1.27706,6.11489,-26.95297,13.62705,14.94741,-0.44309,0.63274,75.7812,-9.750619,0.65503,0.458488,,,,,,,,,,,,-8.51752,9.03445,-1.1285,50,5.80491,3.75585,-120.78683,-10.76786,-12.35932,27.43153,-19.06462,ILL_ILL,RUT_SCA,IllinoisField,D1,BIG10,20260320-IllinoisField-1,7e4f65e0-24b1-11f1-91ed-43f7ec980af3,82.21037,,,7.74302,,,,,,,915759c0-f5bb-409c-9d39-2719199e2447,2026-03-20,23:06:57.73,2026-03-20T18:06:57.7340928-05:00,2026-03-20T23:06:57.7340928Z,,v3,4805,471422,efa08a7a58bf45c89eb5aab6d9facb97,"Johannes, Will",831334,Right,ILL_ILL,0c40d6a9-3352-49c2-9984-57f0d8ede91d,54.3859,-121.77883,13.71576,6.18183,-10.07844,-9.53231,-1.2724,4.20279,-6.17966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-03-20,18:07:12.14,4,3,"Dye, Mitch",813868,Right,ILL_ILL,"Carreras, Yomar",827330,Left,RUT_SCA,Undefined,1,Top,2,1,1,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,84.18493,-1.863741,-1.450454,2053.456675,245.378176,2:15,6.23462,1.64069,6.15269,-30.81895,9.04878,16.42977,1.9432,1.66939,75.76425,-7.644571,1.516921,0.454446,65.06903,-34.739241,-40.391254,,,,,5.61382,5.61382,-39.272811,0.037305,-9.05197,5.74339,-1.53888,50,6.0772,2.45919,-122.05573,-4.90505,-13.33461,29.28183,-23.71336,ILL_ILL,RUT_SCA,IllinoisField,D1,BIG10,20260320-IllinoisField-1,86e56d30-24b1-11f1-91ed-43f7ec980af3,82.94153,2.03576,,8.42068,,,,2.10994,2.03576,-1.65127,915759c0-f5bb-409c-9d39-2719199e2447,2026-03-20,23:07:12.14,2026-03-20T18:07:12.1468928-05:00,2026-03-20T23:07:12.1468928Z,GroundBall,v3,4805,471422,efa08a7a58bf45c89eb5aab6d9facb97,"Johannes, Will",831334,Right,ILL_ILL,807f6388-9510-4825-89d7-23fe7d47084f,54.34639,-123.09403,14.64092,6.23622,-4.0642,-11.85668,-1.63447,2.93202,-6.6673,,2.1087,59.93633,,,,,,,,2.03688,-54.57013,,,,,,,,-1.65022,-50.99404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-03-20,18:10:00.50,1,1,"Harrison, Dallin ",1000387580,Right,RUT_SCA,"Groves, Nick",823806,Left,ILL_ILL,Undefined,1,Bottom,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.27904,-2.017776,-5.471691,2105.592855,248.912805,2:15,5.4501,2.83346,5.74928,-27.00895,7.96654,17.52351,1.31144,-0.8159,82.02114,-7.024195,-2.351845,0.425651,,,,,,,,,,,,-10.60438,5.00111,-2.38876,50,5.26522,11.74081,-130.44092,-5.56071,-18.14328,29.22301,-23.61753,ILL_ILL,RUT_SCA,IllinoisField,D1,BIG10,20260320-IllinoisField-1,eb42f040-24b1-11f1-91ed-43f7ec980af3,88.55249,,,8.2579,,,,,,,915759c0-f5bb-409c-9d39-2719199e2447,2026-03-20,23:10:00.50,2026-03-20T18:10:00.5080000-05:00,2026-03-20T23:10:00.5080000Z,,v3,4805,471422,efa08a7a58bf45c89eb5aab6d9facb97,"Wells, Trey",831089,Right,RUT_SCA,dbfc5560-d382-4d53-a019-ced9090a376f,54.75171,-131.50115,14.6115,5.45142,-4.70385,-11.80876,-2.82666,12.39906,-9.07164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
